N = 64, T = 1000, ranks [8, 16, 32, 64, 128]
drive | fire/step | rank | coincidence | mean |rate err| (rel)
 0.08 |    0.0355 |    8 |      0.1166 |     1.1666
 0.08 |    0.0355 |   16 |      0.1286 |     0.9662
 0.08 |    0.0355 |   32 |      0.1653 |     0.4145
 0.08 |    0.0355 |   64 |      0.1777 |     0.1543
 0.08 |    0.0355 |  128 |      1.0000 |     0.0000
 0.13 |    0.0798 |    8 |      0.3044 |     1.0166
 0.13 |    0.0798 |   16 |      0.3376 |     0.7248
 0.13 |    0.0798 |   32 |      0.3694 |     0.3596
 0.13 |    0.0798 |   64 |      0.4052 |     0.0665
 0.13 |    0.0798 |  128 |      1.0000 |     0.0000
 0.28 |    0.2032 |    8 |      0.7059 |     0.7116
 0.28 |    0.2032 |   16 |      0.7692 |     0.5315
 0.28 |    0.2032 |   32 |      0.8259 |     0.3034
 0.28 |    0.2032 |   64 |      0.9490 |     0.0405
 0.28 |    0.2032 |  128 |      1.0000 |     0.0000
